date,regime,rolling_average,cpi_q_yoy,country
1985-01-01,1,15.986745379290038,9.297678630883732,IT
1985-04-01,1,15.41236324633088,9.40727679401039,IT
1985-07-01,1,14.778937154499005,9.127603983832211,IT
1985-10-01,1,14.149437792925898,8.884907496624962,IT
1986-01-01,1,13.52270882730721,7.514148918761632,IT
1986-04-01,1,12.796366785327699,6.089470480394499,IT
1986-07-01,1,12.110111473593516,5.455615012532289,IT
1986-10-01,1,11.413140384230514,4.425433816601609,IT
1987-01-01,1,10.775968785193097,4.275995751910777,IT
1987-04-01,1,10.222737712285427,4.417188653026738,IT
1987-07-01,1,9.63216305750517,4.902351492226487,IT
1987-10-01,1,9.070481988231029,5.364316679778747,IT
1988-01-01,1,8.520438470909834,5.14134893123912,IT
1988-04-01,1,7.972912049091481,5.028791101038732,IT
1988-07-01,1,7.523274660578329,4.969604015787743,IT
1988-10-01,1,7.136077969168916,5.098683976114371,IT
1989-01-01,1,6.824321310728894,5.8501992704663275,IT
1989-04-01,1,6.575986831254594,6.447367796726611,IT
1989-07-01,1,6.37218124408716,6.392066572944999,IT
1989-10-01,1,6.221403873469023,6.338028094478476,IT
1990-01-01,1,6.0799672814989805,6.468946791482888,IT
1990-04-01,1,5.914163265354004,6.091196471110849,IT
1990-07-01,1,5.785060745738182,6.545553591515785,IT
1990-10-01,1,5.676623814692691,6.716168875715156,IT
1991-01-01,1,5.619130922210575,6.36429106911931,IT
1991-04-01,1,5.642186687230012,6.550585780783225,IT
1991-07-01,1,5.687114606896323,6.35417340585851,IT
1991-10-01,1,5.758891242166874,5.860966522012645,IT
1992-01-01,1,5.829784603819771,5.693862984968701,IT
1992-04-01,1,5.8835135962798235,5.49176850222779,IT
1992-07-01,1,5.890887887303353,5.049837312697081,IT
1992-10-01,1,5.865448005395196,4.855519041615586,IT
1993-01-01,1,5.837216826679578,4.57672535692677,IT
1993-04-01,1,5.813246304637132,4.549380660189817,IT
1993-07-01,1,5.805120518412149,4.807088291288086,IT
1993-10-01,1,5.778896486057112,4.5742033290136375,IT
1994-01-01,1,5.704929191282124,4.370853374966566,IT
1994-04-01,1,5.585535207192195,4.059488114928023,IT
1994-07-01,1,5.457085886551431,3.8230801601297104,IT
1994-10-01,1,5.337830003913321,3.952910441716284,IT
1995-01-01,1,5.232319767299015,4.358742059196774,IT
1995-04-01,1,5.194539542961652,5.335591984363597,IT
1995-07-01,1,5.149869411613489,5.652150964552516,IT
1995-10-01,1,5.093541482218903,5.589610287823432,IT
1996-01-01,1,5.032275255864429,5.13896654202981,IT
1996-04-01,1,4.922585128395845,4.356783231411576,IT
1996-07-01,1,4.780633422090135,3.515139279744295,IT
1996-10-01,0,4.633703381705767,2.9223657143252924,IT
1997-01-01,0,4.473639031080714,2.492575972467659,IT
1997-04-01,0,4.293671868495608,1.8924252505256423,IT
1997-07-01,0,4.132438412702485,1.8251681968346256,IT
1997-10-01,0,3.988371812274687,1.9741870330596267,IT
1998-01-01,0,3.8609462729612525,2.028214570658071,IT
1998-04-01,0,3.735556642704897,2.0415880550627152,IT
1998-07-01,0,3.5970890280255716,2.037735997701584,IT
1998-10-01,0,3.455802140460814,1.7484655777184832,IT
1999-01-01,0,3.3068591114769825,1.3919927952899203,IT
1999-04-01,0,3.176365286285688,1.4496116111021529,IT
1999-07-01,0,3.071426139315366,1.7242972207232699,IT
1999-10-01,0,2.9765171712899776,2.054731081208505,IT
2000-01-01,0,2.8763540695420895,2.3554800242390206,IT
2000-04-01,0,2.7342035284600583,2.4925811627229733,IT
2000-07-01,0,2.583156989699011,2.6312201893315734,IT
2000-10-01,0,2.4372987068244414,2.672444630332027,IT
2001-01-01,0,2.325021115024847,2.8934147060379223,IT
2001-04-01,0,2.2597364173906964,3.0510892787285693,IT
2001-07-01,0,2.2241229475535573,2.802869883001513,IT
2001-10-01,0,2.1978164876663824,2.3962365165817845,IT
2002-01-01,0,2.1935172833651206,2.406591886442433,IT
2002-04-01,0,2.2125716623389136,2.2735128300015006,IT
2002-07-01,0,2.2414837893065176,2.4034107361867063,IT
2002-10-01,0,2.2812518320909114,2.7695478887475034,IT
2003-01-01,0,2.3158622049237634,2.720422027315106,IT
2003-04-01,0,2.34880943239164,2.700532604420247,IT
2003-07-01,0,2.384251783007252,2.7465830100138255,IT
2003-10-01,0,2.4232177526186574,2.5277849699465893,IT
2004-01-01,0,2.467800808636194,2.283653915640649,IT
2004-04-01,0,2.5115706091405756,2.3250076211897897,IT
2004-07-01,0,2.5369080333168954,2.231045704249679,IT
2004-10-01,0,2.533197514390515,1.980520702680888,IT
2005-01-01,0,2.511253985057509,1.9166094375788978,IT
2005-04-01,0,2.479120688508222,1.8499152317372314,IT
2005-07-01,0,2.4486689118118377,2.0221846554038914,IT
2005-10-01,0,2.4229387724730165,2.157841843555608,IT
2006-01-01,0,2.3856153682906722,2.1469466223910327,IT
2006-04-01,0,2.3446063533915384,2.2309089807458937,IT
2006-07-01,0,2.3129878324437736,2.170499464046216,IT
2006-10-01,0,2.2843162375405357,1.8228046185170266,IT
2007-01-01,0,2.2505894696720787,1.7320565290732892,IT
2007-04-01,0,2.216478165928094,1.5912867551218124,IT
2007-07-01,0,2.1779410818231257,1.6326690540873434,IT
2007-10-01,0,2.1570158557076002,2.351043366436989,IT
2008-01-01,0,2.173843210817288,3.0569691295088575,IT
2008-04-01,0,2.2173133199085457,3.56993478624541,IT
2008-07-01,0,2.278804843370703,3.9764134792569683,IT
2008-10-01,0,2.2922271916169654,2.79623193487184,IT
